product_id,product_name,category,price
1,耳机_1,耳机,1785.44
2,电脑_2,电脑,7792.84
3,耳机_3,耳机,812.48
4,食品_4,食品,34.03
5,服装_5,服装,68.43
6,电脑_6,电脑,18882.53
7,电脑_7,电脑,6655.4
8,耳机_8,耳机,1709.79
9,电脑_9,电脑,18028.05
10,服装_10,服装,91.21
11,耳机_11,耳机,1692.35
12,服装_12,服装,783.19
13,手机_13,手机,5077.43
14,食品_14,食品,85.64
15,耳机_15,耳机,583.58
16,食品_16,食品,253.16
17,食品_17,食品,58.55
18,耳机_18,耳机,1721.64
19,耳机_19,耳机,987.4
20,家电_20,家电,3257.99
21,食品_21,食品,154.17
22,耳机_22,耳机,1132.26
23,电脑_23,电脑,14806.83
24,电脑_24,电脑,9903.7
25,服装_25,服装,446.58
26,服装_26,服装,622.32
27,服装_27,服装,887.52
28,家电_28,家电,2032.39
29,家电_29,家电,5850.08
30,耳机_30,耳机,2495.71
31,耳机_31,耳机,783.55
32,服装_32,服装,208.0
33,耳机_33,耳机,1527.28
34,家电_34,家电,3439.69
35,耳机_35,耳机,1831.27
36,服装_36,服装,272.6
37,电脑_37,电脑,10178.16
38,服装_38,服装,944.05
39,家电_39,家电,4593.93
40,服装_40,服装,91.82
41,电脑_41,电脑,11126.96
42,服装_42,服装,836.11
43,食品_43,食品,160.28
44,食品_44,食品,280.35
45,耳机_45,耳机,2121.65
46,电脑_46,电脑,19504.38
47,电脑_47,电脑,5702.53
48,服装_48,服装,50.23
49,耳机_49,耳机,1714.1
50,手机_50,手机,5412.59
51,家电_51,家电,6958.89
52,家电_52,家电,1307.39
53,电脑_53,电脑,10658.28
54,服装_54,服装,791.06
55,耳机_55,耳机,905.27
56,耳机_56,耳机,2158.83
57,耳机_57,耳机,2230.91
58,家电_58,家电,1010.91
59,耳机_59,耳机,1066.7
60,手机_60,手机,4345.56
61,手机_61,手机,4618.19
62,电脑_62,电脑,19796.8
63,耳机_63,耳机,210.22
64,耳机_64,耳机,2001.1
65,家电_65,家电,2442.35
66,家电_66,家电,4289.54
67,家电_67,家电,4018.48
68,电脑_68,电脑,6432.43
69,耳机_69,耳机,1627.26
70,手机_70,手机,11182.91
71,电脑_71,电脑,17498.34
72,家电_72,家电,4005.89
73,食品_73,食品,135.94
74,食品_74,食品,154.61
75,手机_75,手机,6771.17
76,手机_76,手机,7288.58
77,服装_77,服装,433.26
78,手机_78,手机,12285.17
79,电脑_79,电脑,14954.74
80,手机_80,手机,12000.67
81,家电_81,家电,7101.02
82,服装_82,服装,723.23
83,服装_83,服装,900.73
84,耳机_84,耳机,1013.94
85,电脑_85,电脑,4936.7
86,家电_86,家电,9028.6
87,手机_87,手机,8768.14
88,耳机_88,耳机,209.17
89,服装_89,服装,638.15
90,家电_90,家电,8763.74
91,家电_91,家电,3997.28
92,食品_92,食品,251.93
93,食品_93,食品,188.11
94,家电_94,家电,5236.0
95,服装_95,服装,709.22
96,服装_96,服装,957.96
97,家电_97,家电,1880.3
98,手机_98,手机,13110.37
99,食品_99,食品,288.42
100,家电_100,家电,9760.45
101,耳机_101,耳机,1488.67
102,食品_102,食品,44.75
103,电脑_103,电脑,15590.51
104,手机_104,手机,3941.94
105,手机_105,手机,7436.82
106,电脑_106,电脑,18945.3
107,服装_107,服装,167.89
108,手机_108,手机,12639.7
109,食品_109,食品,243.57
110,电脑_110,电脑,17025.88
111,家电_111,家电,1127.65
112,耳机_112,耳机,1365.37
113,服装_113,服装,941.29
114,电脑_114,电脑,18807.33
115,服装_115,服装,410.7
116,食品_116,食品,276.06
117,手机_117,手机,9690.96
118,手机_118,手机,14493.27
119,电脑_119,电脑,6625.33
120,耳机_120,耳机,210.68
121,食品_121,食品,267.6
122,手机_122,手机,8374.42
123,家电_123,家电,8676.47
124,食品_124,食品,149.73
125,家电_125,家电,6778.32
126,耳机_126,耳机,2708.52
127,电脑_127,电脑,18673.72
128,耳机_128,耳机,1706.12
129,电脑_129,电脑,4266.17
130,服装_130,服装,847.15
131,服装_131,服装,692.97
132,家电_132,家电,2887.12
133,服装_133,服装,160.99
134,食品_134,食品,105.13
135,食品_135,食品,297.73
136,手机_136,手机,8791.99
137,电脑_137,电脑,9347.05
138,家电_138,家电,6336.42
139,耳机_139,耳机,662.13
140,耳机_140,耳机,2900.03
141,服装_141,服装,145.59
142,手机_142,手机,13452.32
143,电脑_143,电脑,7076.7
144,手机_144,手机,13438.05
145,家电_145,家电,4855.85
146,耳机_146,耳机,1718.41
